"pos";"variable";"label";"value_labels"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[-42] DATENFEHLER: MFN"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[-9] KEINE ANGABE"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[0] NIE"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[1] AN EINEM TAG"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[2] AN 2 TAGEN"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[3] AN 3 TAGEN"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[4] AN 4 TAGEN"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[5] AN 5 TAGEN"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[6] AN 6 TAGEN"
"14";"lm01";"HAEUFIGKEIT VON FERNSEHEN PRO WOCHE";"[7] AN ALLEN 7 TAGEN"
"15";"lm02";"FERNSEHGESAMTDAUER PRO TAG IN MINUTEN";"[-32] NICHT GENERIERBAR"
"15";"lm02";"FERNSEHGESAMTDAUER PRO TAG IN MINUTEN";"[-10] TNZ: FILTER"
"15";"lm02";"FERNSEHGESAMTDAUER PRO TAG IN MINUTEN";"[-9] KEINE ANGABE"
"16";"lm19";"NACHRICHTENKONSUM: OEFFENTLICHES TV";"[-10] TNZ: FILTER"
"16";"lm19";"NACHRICHTENKONSUM: OEFFENTLICHES TV";"[-9] KEINE ANGABE"
"16";"lm19";"NACHRICHTENKONSUM: OEFFENTLICHES TV";"[1] JA"
"16";"lm19";"NACHRICHTENKONSUM: OEFFENTLICHES TV";"[2] NEIN"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[-42] DATENFEHLER: MFN"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[-10] TNZ: FILTER"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[-9] KEINE ANGABE"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[0] NIE"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[1] AN EINEM TAG"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[2] AN 2 TAGEN"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[3] AN 3 TAGEN"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[4] AN 4 TAGEN"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[5] AN 5 TAGEN"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[6] AN 6 TAGEN"
"17";"lm20";"KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV";"[7] AN ALLEN 7 TAGEN"
"18";"lm21";"NACHRICHTENKONSUM: PRIVATES TV";"[-42] DATENFEHLER: MFN"
"18";"lm21";"NACHRICHTENKONSUM: PRIVATES TV";"[-10] TNZ: FILTER"
"18";"lm21";"NACHRICHTENKONSUM: PRIVATES TV";"[-9] KEINE ANGABE"
"18";"lm21";"NACHRICHTENKONSUM: PRIVATES TV";"[1] JA"
"18";"lm21";"NACHRICHTENKONSUM: PRIVATES TV";"[2] NEIN"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[-42] DATENFEHLER: MFN"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[-10] TNZ: FILTER"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[-9] KEINE ANGABE"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[0] NIE"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[1] AN EINEM TAG"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[2] AN 2 TAGEN"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[3] AN 3 TAGEN"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[4] AN 4 TAGEN"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[5] AN 5 TAGEN"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[6] AN 6 TAGEN"
"19";"lm22";"KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV";"[7] AN ALLEN 7 TAGEN"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[-42] DATENFEHLER: MFN"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[-9] KEINE ANGABE"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[0] NIE"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[1] AN EINEM TAG"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[2] AN 2 TAGEN"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[3] AN 3 TAGEN"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[4] AN 4 TAGEN"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[5] AN 5 TAGEN"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[6] AN 6 TAGEN"
"20";"lm14";"HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE";"[7] AN ALLEN 7 TAGEN"
"21";"xr19";"NUTZEN SIE PRIVAT DAS INTERNET?";"[-15] TNZ: MODE"
"21";"xr19";"NUTZEN SIE PRIVAT DAS INTERNET?";"[-9] KEINE ANGABE"
"21";"xr19";"NUTZEN SIE PRIVAT DAS INTERNET?";"[1] JA"
"21";"xr19";"NUTZEN SIE PRIVAT DAS INTERNET?";"[2] NEIN"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[-42] DATENFEHLER: MFN"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[-10] TNZ: FILTER"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[-9] KEINE ANGABE"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[-8] SPLIT B: WEISS NICHT"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[1] MEHRMALS TAEGLICH"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[2] CA. 1X AM TAG"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[3] MEHRMALS PRO WOCHE"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[4] CA. 1X PRO WOCHE"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[5] SELTENER"
"22";"xr20";"HAEUFIGKEIT INTERNETNUTZUNG PRIVAT";"[6] NIE"
"23";"lm27";"INTERNETNUTZUNG MIT: PC";"[-10] TNZ: FILTER"
"23";"lm27";"INTERNETNUTZUNG MIT: PC";"[-9] KEINE ANGABE"
"23";"lm27";"INTERNETNUTZUNG MIT: PC";"[-8] SPLIT B: WEISS NICHT"
"23";"lm27";"INTERNETNUTZUNG MIT: PC";"[0] NICHT GENANNT"
"23";"lm27";"INTERNETNUTZUNG MIT: PC";"[1] GENANNT"
"24";"lm28";"INTERNETNUTZUNG MIT: LAPTOP";"[-10] TNZ: FILTER"
"24";"lm28";"INTERNETNUTZUNG MIT: LAPTOP";"[-9] KEINE ANGABE"
"24";"lm28";"INTERNETNUTZUNG MIT: LAPTOP";"[-8] SPLIT B: WEISS NICHT"
"24";"lm28";"INTERNETNUTZUNG MIT: LAPTOP";"[0] NICHT GENANNT"
"24";"lm28";"INTERNETNUTZUNG MIT: LAPTOP";"[1] GENANNT"
"25";"lm29";"INTERNETNUTZUNG MIT: TABLET";"[-10] TNZ: FILTER"
"25";"lm29";"INTERNETNUTZUNG MIT: TABLET";"[-9] KEINE ANGABE"
"25";"lm29";"INTERNETNUTZUNG MIT: TABLET";"[-8] SPLIT B: WEISS NICHT"
"25";"lm29";"INTERNETNUTZUNG MIT: TABLET";"[0] NICHT GENANNT"
"25";"lm29";"INTERNETNUTZUNG MIT: TABLET";"[1] GENANNT"
"26";"lm30";"INTERNETNUTZUNG MIT: SMARTPHONE";"[-10] TNZ: FILTER"
"26";"lm30";"INTERNETNUTZUNG MIT: SMARTPHONE";"[-9] KEINE ANGABE"
"26";"lm30";"INTERNETNUTZUNG MIT: SMARTPHONE";"[-8] SPLIT B: WEISS NICHT"
"26";"lm30";"INTERNETNUTZUNG MIT: SMARTPHONE";"[0] NICHT GENANNT"
"26";"lm30";"INTERNETNUTZUNG MIT: SMARTPHONE";"[1] GENANNT"
"27";"lm31";"INTERNETNUTZUNG MIT: FERNSEHER";"[-10] TNZ: FILTER"
"27";"lm31";"INTERNETNUTZUNG MIT: FERNSEHER";"[-9] KEINE ANGABE"
"27";"lm31";"INTERNETNUTZUNG MIT: FERNSEHER";"[-8] SPLIT B: WEISS NICHT"
"27";"lm31";"INTERNETNUTZUNG MIT: FERNSEHER";"[0] NICHT GENANNT"
"27";"lm31";"INTERNETNUTZUNG MIT: FERNSEHER";"[1] GENANNT"
"28";"lm32";"INTERNETNUTZUNG MIT: SPIELEKONSOLE";"[-10] TNZ: FILTER"
"28";"lm32";"INTERNETNUTZUNG MIT: SPIELEKONSOLE";"[-9] KEINE ANGABE"
"28";"lm32";"INTERNETNUTZUNG MIT: SPIELEKONSOLE";"[-8] SPLIT B: WEISS NICHT"
"28";"lm32";"INTERNETNUTZUNG MIT: SPIELEKONSOLE";"[0] NICHT GENANNT"
"28";"lm32";"INTERNETNUTZUNG MIT: SPIELEKONSOLE";"[1] GENANNT"
"29";"lm33";"INTERNETNUTZUNG MIT: E-BOOK-READER";"[-10] TNZ: FILTER"
"29";"lm33";"INTERNETNUTZUNG MIT: E-BOOK-READER";"[-9] KEINE ANGABE"
"29";"lm33";"INTERNETNUTZUNG MIT: E-BOOK-READER";"[-8] SPLIT B: WEISS NICHT"
"29";"lm33";"INTERNETNUTZUNG MIT: E-BOOK-READER";"[0] NICHT GENANNT"
"29";"lm33";"INTERNETNUTZUNG MIT: E-BOOK-READER";"[1] GENANNT"
"30";"lm34";"INTERNETNUTZUNG MIT: ANDERE GERAETE";"[-10] TNZ: FILTER"
"30";"lm34";"INTERNETNUTZUNG MIT: ANDERE GERAETE";"[-9] KEINE ANGABE"
"30";"lm34";"INTERNETNUTZUNG MIT: ANDERE GERAETE";"[-8] SPLIT B: WEISS NICHT"
"30";"lm34";"INTERNETNUTZUNG MIT: ANDERE GERAETE";"[0] NICHT GENANNT"
"30";"lm34";"INTERNETNUTZUNG MIT: ANDERE GERAETE";"[1] GENANNT"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[-42] DATENFEHLER: MFN"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[-10] TNZ FILTER"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[-9] KEINE ANGABE"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[0] NIE"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[1] AN EINEM TAG"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[2] AN 2 TAGEN"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[3] AN 3 TAGEN"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[4] AN 4 TAGEN"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[5] AN 5 TAGEN"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[6] AN 6 TAGEN"
"31";"lm35";"HAEUFIGK.:SOZ.MEDIEN NACHRICHTENQUELLE";"[7] AN ALLEN 7 TAGEN"
"32";"lm36";"GLAUBWUERD. OEFF. TV KRIMINALITAET";"[-42] DATENFEHLER: MFN"
"32";"lm36";"GLAUBWUERD. OEFF. TV KRIMINALITAET";"[-9] KEINE ANGABE"
"32";"lm36";"GLAUBWUERD. OEFF. TV KRIMINALITAET";"[-8] SPLIT B: WEISS NICHT"
"32";"lm36";"GLAUBWUERD. OEFF. TV KRIMINALITAET";"[1] SEHR GLAUBWUERDIG"
"32";"lm36";"GLAUBWUERD. OEFF. TV KRIMINALITAET";"[2] EHER GLAUBWUERDIG"
"32";"lm36";"GLAUBWUERD. OEFF. TV KRIMINALITAET";"[3] EHER N. GLAUBWUERDIG"
"32";"lm36";"GLAUBWUERD. OEFF. TV KRIMINALITAET";"[4] GAR NICHT GLAUBWUERD"
"33";"lm37";"GLAUBWUERD. PRIV. TV KRIMINALITAET";"[-42] DATENFEHLER: MFN"
"33";"lm37";"GLAUBWUERD. PRIV. TV KRIMINALITAET";"[-9] KEINE ANGABE"
"33";"lm37";"GLAUBWUERD. PRIV. TV KRIMINALITAET";"[-8] SPLIT B: WEISS NICHT"
"33";"lm37";"GLAUBWUERD. PRIV. TV KRIMINALITAET";"[1] SEHR GLAUBWUERDIG"
"33";"lm37";"GLAUBWUERD. PRIV. TV KRIMINALITAET";"[2] EHER GLAUBWUERDIG"
"33";"lm37";"GLAUBWUERD. PRIV. TV KRIMINALITAET";"[3] EHER N. GLAUBWUERDIG"
"33";"lm37";"GLAUBWUERD. PRIV. TV KRIMINALITAET";"[4] GAR NICHT GLAUBWUERD"
"34";"lm38";"GLAUBWUERD. TAGESZEITUNGEN KRIMINALITAET";"[-42] DATENFEHLER: MFN"
"34";"lm38";"GLAUBWUERD. TAGESZEITUNGEN KRIMINALITAET";"[-9] KEINE ANGABE"
"34";"lm38";"GLAUBWUERD. TAGESZEITUNGEN KRIMINALITAET";"[-8] SPLIT B: WEISS NICHT"
"34";"lm38";"GLAUBWUERD. TAGESZEITUNGEN KRIMINALITAET";"[1] SEHR GLAUBWUERDIG"
"34";"lm38";"GLAUBWUERD. TAGESZEITUNGEN KRIMINALITAET";"[2] EHER GLAUBWUERDIG"
"34";"lm38";"GLAUBWUERD. TAGESZEITUNGEN KRIMINALITAET";"[3] EHER N. GLAUBWUERDIG"
"34";"lm38";"GLAUBWUERD. TAGESZEITUNGEN KRIMINALITAET";"[4] GAR NICHT GLAUBWUERD"
"35";"lm39";"GLAUBWUERD. SOZ. MEDIEN KRIMINALITAET";"[-42] DATENFEHLER: MFN"
"35";"lm39";"GLAUBWUERD. SOZ. MEDIEN KRIMINALITAET";"[-9] KEINE ANGABE"
"35";"lm39";"GLAUBWUERD. SOZ. MEDIEN KRIMINALITAET";"[-8] SPLIT B: WEISS NICHT"
"35";"lm39";"GLAUBWUERD. SOZ. MEDIEN KRIMINALITAET";"[1] SEHR GLAUBWUERDIG"
"35";"lm39";"GLAUBWUERD. SOZ. MEDIEN KRIMINALITAET";"[2] EHER GLAUBWUERDIG"
"35";"lm39";"GLAUBWUERD. SOZ. MEDIEN KRIMINALITAET";"[3] EHER N. GLAUBWUERDIG"
"35";"lm39";"GLAUBWUERD. SOZ. MEDIEN KRIMINALITAET";"[4] GAR NICHT GLAUBWUERD"
"36";"la01";"FREIZEIT: BUECHER LESEN";"[-42] DATENFEHLER: MFN"
"36";"la01";"FREIZEIT: BUECHER LESEN";"[-9] KEINE ANGABE"
"36";"la01";"FREIZEIT: BUECHER LESEN";"[1] TAEGLICH"
"36";"la01";"FREIZEIT: BUECHER LESEN";"[2] MIND. 1X PRO WOCHE"
"36";"la01";"FREIZEIT: BUECHER LESEN";"[3] MIND. 1X PRO MONAT"
"36";"la01";"FREIZEIT: BUECHER LESEN";"[4] SELTENER"
"36";"la01";"FREIZEIT: BUECHER LESEN";"[5] NIE"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[-50] SPL.B:KEINER SCHICHT"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[-42] DATENFEHLER: MFN"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[-9] KEINE ANGABE"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[-8] SPLIT B: WEISS NICHT"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[-7] VERWEIGERT"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[1] UNTERSCHICHT"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[2] ARBEITERSCHICHT"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[3] MITTELSCHICHT"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[4] OBERE MITTELSCHICHT"
"37";"id02";"SUBJEKTIVE SCHICHTEINSTUFUNG, BEFR.";"[5] OBERSCHICHT"
"38";"id01";"GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?";"[-42] DATENFEHLER: MFN"
"38";"id01";"GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?";"[-9] KEINE ANGABE"
"38";"id01";"GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?";"[-8] SPLIT B: WEISS NICHT"
"38";"id01";"GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?";"[1] SEHR VIEL WENIGER"
"38";"id01";"GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?";"[2] ETWAS WENIGER"
"38";"id01";"GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?";"[3] GERECHTEN ANTEIL"
"38";"id01";"GERECHTER ANTEIL A.LEBENSSTANDARD,BEFR.?";"[4] MEHR ALS GERECHTEN"
"39";"mi05";"ZUZUG VON: KRIEGSFLUECHTLINGEN";"[-42] DATENFEHLER: MFN"
"39";"mi05";"ZUZUG VON: KRIEGSFLUECHTLINGEN";"[-33] NICHT BESTIMMBAR"
"39";"mi05";"ZUZUG VON: KRIEGSFLUECHTLINGEN";"[-9] KEINE ANGABE"
"39";"mi05";"ZUZUG VON: KRIEGSFLUECHTLINGEN";"[-8] SPLIT B: WEISS NICHT"
"39";"mi05";"ZUZUG VON: KRIEGSFLUECHTLINGEN";"[1] UNEINGESCHRAENKT"
"39";"mi05";"ZUZUG VON: KRIEGSFLUECHTLINGEN";"[2] ZUZUG BEGRENZEN"
"39";"mi05";"ZUZUG VON: KRIEGSFLUECHTLINGEN";"[3] GANZ UNTERBINDEN"
"40";"mi06";"ZUZUG VON: POLITISCH VERFOLGTEN";"[-42] DATENFEHLER: MFN"
"40";"mi06";"ZUZUG VON: POLITISCH VERFOLGTEN";"[-33] NICHT BESTIMMBAR"
"40";"mi06";"ZUZUG VON: POLITISCH VERFOLGTEN";"[-9] KEINE ANGABE"
"40";"mi06";"ZUZUG VON: POLITISCH VERFOLGTEN";"[-8] SPLIT B: WEISS NICHT"
"40";"mi06";"ZUZUG VON: POLITISCH VERFOLGTEN";"[1] UNEINGESCHRAENKT"
"40";"mi06";"ZUZUG VON: POLITISCH VERFOLGTEN";"[2] ZUZUG BEGRENZEN"
"40";"mi06";"ZUZUG VON: POLITISCH VERFOLGTEN";"[3] GANZ UNTERBINDEN"
"41";"mi07";"ZUZUG VON: WIRTSCHAFTSMIGRANTEN";"[-42] DATENFEHLER: MFN"
"41";"mi07";"ZUZUG VON: WIRTSCHAFTSMIGRANTEN";"[-33] NICHT BESTIMMBAR"
"41";"mi07";"ZUZUG VON: WIRTSCHAFTSMIGRANTEN";"[-9] KEINE ANGABE"
"41";"mi07";"ZUZUG VON: WIRTSCHAFTSMIGRANTEN";"[-8] SPLIT B: WEISS NICHT"
"41";"mi07";"ZUZUG VON: WIRTSCHAFTSMIGRANTEN";"[1] UNEINGESCHRAENKT"
"41";"mi07";"ZUZUG VON: WIRTSCHAFTSMIGRANTEN";"[2] ZUZUG BEGRENZEN"
"41";"mi07";"ZUZUG VON: WIRTSCHAFTSMIGRANTEN";"[3] GANZ UNTERBINDEN"
"42";"mi08";"ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA";"[-42] DATENFEHLER: MFN"
"42";"mi08";"ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA";"[-33] NICHT BESTIMMBAR"
"42";"mi08";"ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA";"[-9] KEINE ANGABE"
"42";"mi08";"ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA";"[-8] SPLIT B: WEISS NICHT"
"42";"mi08";"ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA";"[1] UNEINGESCHRAENKT"
"42";"mi08";"ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA";"[2] ZUZUG BEGRENZEN"
"42";"mi08";"ZUZUG VON: EU-ARBEITN. AUS OSTEUROPA";"[3] GANZ UNTERBINDEN"
"43";"mi09";"ZUZUG VON: ARBEITN. ANDERER EU-STAATEN";"[-42] DATENFEHLER: MFN"
"43";"mi09";"ZUZUG VON: ARBEITN. ANDERER EU-STAATEN";"[-33] NICHT BESTIMMBAR"
"43";"mi09";"ZUZUG VON: ARBEITN. ANDERER EU-STAATEN";"[-9] KEINE ANGABE"
"43";"mi09";"ZUZUG VON: ARBEITN. ANDERER EU-STAATEN";"[-8] SPLIT B: WEISS NICHT"
